actionId,colorId,shapeId,x1,y1,x2,y2,x3,y3,x4,y4
1,2,0,585.8333333333334,47.5,601.6666666666666,47.5,585.8333333333334,63.33333333333333,601.6666666666666,63.33333333333333
2,2,0,348.3333333333333,142.5,364.1666666666667,142.5,348.3333333333333,158.33333333333334,364.1666666666667,158.33333333333334
1,2,0,649.1666666666666,47.5,665.0,47.5,649.1666666666666,63.33333333333333,665.0,63.33333333333333
2,2,0,380.0,174.16666666666666,395.83333333333337,174.16666666666666,380.0,190.0,395.83333333333337,190.0
1,2,0,585.8333333333334,47.5,601.6666666666666,47.5,585.8333333333334,63.33333333333333,601.6666666666666,63.33333333333333
2,2,0,380.0,110.83333333333334,395.83333333333337,110.83333333333334,380.0,126.66666666666666,395.83333333333337,126.66666666666666
1,0,0,174.16666666666666,47.5,190.0,47.5,174.16666666666666,63.33333333333333,190.0,63.33333333333333
2,0,0,316.6666666666667,142.5,332.5,142.5,316.6666666666667,158.33333333333334,332.5,158.33333333333334
1,0,0,110.83333333333334,47.5,126.66666666666666,47.5,110.83333333333334,63.33333333333333,126.66666666666666,63.33333333333333
2,0,0,316.6666666666667,142.5,332.5,142.5,316.6666666666667,158.33333333333334,332.5,158.33333333333334
1,0,0,47.5,47.5,63.33333333333333,47.5,47.5,63.33333333333333,63.33333333333333,63.33333333333333
2,0,0,316.6666666666667,142.5,332.5,142.5,316.6666666666667,158.33333333333334,332.5,158.33333333333334
1,3,0,585.8333333333334,205.83333333333331,601.6666666666666,205.83333333333331,585.8333333333334,221.66666666666669,601.6666666666666,221.66666666666669
2,3,0,443.33333333333337,142.5,459.16666666666663,142.5,443.33333333333337,158.33333333333334,459.16666666666663,158.33333333333334
1,3,0,649.1666666666666,205.83333333333331,665.0,205.83333333333331,649.1666666666666,221.66666666666669,665.0,221.66666666666669
2,3,0,443.33333333333337,142.5,459.16666666666663,142.5,443.33333333333337,158.33333333333334,459.16666666666663,158.33333333333334
1,3,0,554.1666666666666,205.83333333333331,570.0,205.83333333333331,554.1666666666666,221.66666666666669,570.0,221.66666666666669
2,3,0,443.33333333333337,142.5,459.16666666666663,142.5,443.33333333333337,158.33333333333334,459.16666666666663,158.33333333333334
