id,actionId,colorId,shapeId,x1,y1,x2,y2,x3,y3,x4,y4
0,1,2,0,649.1666666666666,47.5,665.0,47.5,649.1666666666666,63.33333333333333,665.0,63.33333333333333
1,1,2,0,712.5,47.5,728.3333333333334,47.5,712.5,63.33333333333333,728.3333333333334,63.33333333333333
2,1,3,0,585.8333333333334,205.83333333333331,601.6666666666666,205.83333333333331,585.8333333333334,221.66666666666669,601.6666666666666,221.66666666666669
3,1,3,1,585.8333333333334,269.1666666666667,601.6666666666666,269.1666666666667,585.8333333333334,316.6666666666667,601.6666666666666,316.6666666666667
4,1,3,1,649.1666666666666,269.1666666666667,665.0,269.1666666666667,649.1666666666666,316.6666666666667,665.0,316.6666666666667
5,1,3,0,649.1666666666666,205.83333333333331,665.0,205.83333333333331,649.1666666666666,221.66666666666669,665.0,221.66666666666669
6,1,2,1,554.1666666666666,110.83333333333334,570.0,110.83333333333334,554.1666666666666,158.33333333333334,570.0,158.33333333333334
7,1,2,0,712.5,47.5,728.3333333333334,47.5,712.5,63.33333333333333,728.3333333333334,63.33333333333333
8,1,0,0,174.16666666666666,47.5,190.0,47.5,174.16666666666666,63.33333333333333,190.0,63.33333333333333
9,1,0,0,110.83333333333334,47.5,126.66666666666666,47.5,110.83333333333334,63.33333333333333,126.66666666666666,63.33333333333333
10,1,0,0,47.5,47.5,63.33333333333333,47.5,47.5,63.33333333333333,63.33333333333333,63.33333333333333
11,1,1,1,110.83333333333334,269.1666666666667,126.66666666666666,269.1666666666667,110.83333333333334,316.6666666666667,126.66666666666666,316.6666666666667
