stepId,actionId,begin,end
0,0,1695893733712,1695893737946
1,1,1695893737946,1695893740114
1,2,1695893740114,1695893741654
2,1,1695893741654,1695893743047
2,2,1695893743047,1695893744849
3,1,1695893744849,1695893748849
3,2,1695893748849,1695893750079
4,1,1695893750079,1695893752220
4,2,1695893752220,1695893755120
5,1,1695893755120,1695893757358
5,2,1695893757358,1695893759217
6,1,1695893759217,1695893760692
6,2,1695893760692,1695893762348
7,1,1695893762348,1695893764114
7,2,1695893764114,1695893766112
8,1,1695893766112,1695893767187
8,2,1695893767187,1695893768653
9,1,1695893768653,1695893769559
9,2,1695893769559,1695893770889
