timestamp,displayId,duration
1695978549260,-1,746
1695978550006,1,51
1695978550072,1,36
1695978550113,-1,6
1695978550119,1,20
1695978550151,1,181
1695978550344,-1,6
1695978550350,1,15
1695978550375,0,1244
1695978550377,1,18
1695978550410,1,226
1695978550654,1,1678
1695978551630,0,203
1695978552340,-1,19
1695978552359,1,18
1695978552395,-1,48
1695978552443,1,44
1695978552496,-1,737
1695978553233,1,102
1695978553346,1,7785
1695978553458,0,33
1695978553502,0,4242
1695978557789,0,1987
1695978559862,0,2
1695978561139,-1,247
1695978561386,0,100
1695978561495,-1,247
1695978561742,0,249
1695978561993,1,1207
1695978563202,-1,122
1695978563324,1,119
1695978563453,-1,34
1695978563487,1,1809
1695978563531,0,1684
1695978565238,0,56
1695978565308,-1,21
1695978565329,0,63
1695978565404,-1,100
1695978565504,0,101
1695978565616,-1,1
1695978565617,1,12
1695978565638,-1,9
1695978565647,1,15
1695978565660,0,543
1695978565709,1,293
1695978566017,1,18
1695978566050,1,264
1695978566279,0,47
1695978566326,1,18
1695978566338,0,31
1695978566359,1,18
1695978566392,1,18
1695978566414,-1,77
1695978566491,1,18
1695978566515,-1,167
1695978566682,0,1185
1695978566685,1,66
1695978566766,1,21
1695978566796,1,21
1695978566829,1,51
1695978566897,1,161
1695978567075,1,18
1695978567108,1,20
1695978567140,1,18
1695978567172,1,20
1695978567219,1,18
1695978567252,1,23
1695978567281,1,21
1695978567316,1,21
1695978567349,1,18
1695978567382,1,18
1695978567415,1,32
1695978567461,1,20
1695978567610,1,18
1695978567640,1,20
1695978567672,1,21
1695978567803,1,39
1695978567850,1,440
1695978568295,-1,1683
1695978569978,1,1368
1695978570233,0,1043
1695978571358,-1,185
1695978571543,0,35
1695978571584,1,53
1695978571600,0,510
1695978571649,1,52
1695978571713,1,18
1695978571746,1,21
1695978571778,1,34
1695978571826,1,18
1695978571859,1,18
1695978571892,1,18
1695978571922,1,21
1695978571957,1,115
1695978572104,1,213
1695978572324,-1,1221
1695978573545,1,18
1695978573570,-1,235
1695978573805,1,118
1695978573934,-1,4
1695978573938,1,24
1695978573964,-1,22
1695978573986,1,17
1695978574013,-1,4
1695978574017,1,18
1695978574050,1,21
1695978574057,0,1187
1695978574083,1,1221
1695978575255,0,134
1695978575396,-1,4
1695978575400,0,300
1695978575446,1,17
1695978575478,1,17
1695978575640,1,18
1695978575705,-1,17
1695978575722,0,48
1695978575777,-1,12
1695978575789,0,113
1695978575903,-1,535
1695978576438,1,161
1695978576604,-1,25
1695978576629,1,1062
1695978576656,0,298
1695978577703,-1,582
1695978578285,1,18
1695978578312,-1,3
1695978578315,1,18
1695978578344,-1,4
1695978578348,1,164
1695978578527,1,18
1695978578551,-1,41
1695978578592,1,120
1695978578715,-1,9
1695978578724,1,19
1695978578749,-1,5
1695978578754,1,23
1695978578786,1,24
1695978578808,0,999
1695978578819,1,53
1695978578884,1,86
1695978578982,1,796
1695978579814,-1,12
1695978579826,0,262
1695978579925,1,15
1695978579957,1,21
1695978580093,-1,28
1695978580121,1,15
1695978580138,-1,10
1695978580148,0,854
1695978580232,1,942
1695978581186,-1,3
1695978581189,1,17
1695978581207,-1,1362
1695978582569,1,15
1695978582602,-1,30
1695978582632,1,100
1695978582743,-1,19
1695978582762,1,83
1695978582851,-1,9
1695978582860,1,18
1695978582892,-1,1
1695978582893,1,1239
1695978582952,0,1122
1695978584138,-1,39
1695978584177,1,18
1695978584196,0,33
1695978584241,-1,18
1695978584259,1,24
1695978584289,-1,152
1695978584441,0,985
1695978584468,1,48
1695978584531,1,21
1695978584564,1,20
1695978584598,1,17
1695978584627,1,36
1695978584681,1,211
1695978584907,1,15
1695978585001,1,86
1695978585100,1,20
1695978585131,1,16
1695978585182,1,15
1695978585211,1,20
1695978585243,1,18
1695978585276,1,18
1695978585311,1,17
1695978585406,1,202
1695978585617,-1,1332
1695978586949,1,18
1695978586973,-1,168
1695978587141,1,151
1695978587294,-1,28
1695978587322,1,18
1695978587344,-1,56
1695978587400,1,122
1695978587533,-1,16
1695978587549,1,145
1695978587622,0,310
1695978587712,1,98
1695978587888,1,50
1695978587898,-1,34
