figureId,stepId,colorId,shapeId,blockId,x,y,horizontal
0,1,0,1,1,24,11,1
0,2,0,1,0,24,13,1
0,3,0,0,2,22,13,1
0,4,0,0,1,22,11,1
0,5,1,0,2,23,15,1
0,6,1,0,1,25,15,1
1,1,1,0,1,24,11,1
1,2,1,0,0,24,11,1
1,3,3,0,0,28,11,1
1,4,3,0,1,28,11,1
1,5,3,0,2,28,11,1
1,6,0,1,2,24,11,1
1,7,0,0,1,28,11,1
2,1,1,1,1,20,9,1
2,2,1,1,0,22,7,1
2,3,1,0,2,23,5,1
2,4,3,1,0,23,11,1
2,5,3,1,1,23,13,1
2,6,3,1,2,23,15,1
2,7,3,0,0,21,15,1
2,8,3,0,1,21,13,1
2,9,3,0,2,21,11,1
3,1,1,0,1,24,11,1
3,2,1,0,0,24,13,1
3,3,1,1,2,20,9,1
3,4,1,1,1,20,11,1
3,5,1,1,0,20,13,1
3,6,0,1,2,26,11,1
3,7,0,0,2,28,11,1
3,8,0,0,1,27,9,1
3,9,0,0,0,27,13,1
4,1,2,0,0,22,9,1
4,2,2,0,1,24,11,1
4,3,2,0,0,24,7,1
4,4,0,0,2,20,9,1
4,5,0,0,1,20,9,1
4,6,0,0,0,20,9,1
4,7,3,0,0,28,9,1
4,8,3,0,1,28,9,1
4,9,3,0,2,28,9,1
5,1,2,0,1,24,9,1
5,2,2,0,2,24,9,1
5,3,3,0,0,28,9,1
5,4,3,1,0,30,9,1
5,5,3,1,1,28,9,1
5,6,3,0,1,28,9,1
5,7,2,1,2,26,9,1
5,8,2,0,2,24,9,1
5,9,0,0,2,24,13,1
5,10,0,0,1,24,13,1
5,11,0,0,0,24,13,1
5,12,1,1,1,24,11,0
